Name,Market Cap (US$ Billion),Market Cap (GBP$ Billion)
JPMorgan Chase,390.934,533.772
Industrial and Commercial Bank of China,345.214,471.347
Bank of America,325.331,444.199
Wells Fargo,308.013,420.554
China Construction Bank,257.399,351.447
HSBC Holdings PLC,219.27,299.386
Agricultural Bank of China,203.244,277.505
Citigroup Inc.,203.165,277.397
Bank of China,181.469,247.774
China Merchants Bank,122.616,167.417
Royal Bank of Canada,122.564,167.346
Banco Santander,115.696,157.969
Commonwealth Bank,112.227,153.232
Mitsubishi UFJ Financial Group,111.66,152.458
Toronto-Dominion Bank,108.449,148.074
BNP Paribas,103.258,140.986
Goldman Sachs,100.705,137.5
Sberbank of Russia,99.84,136.319
Morgan Stanley,99.651,136.061
U.S. Bancorp,94.558,129.107
HDFC Bank,88.435,120.747
Itaú Unibanco,86.203,117.7
Westpac,84.56,115.456
Scotiabank,78.947,107.792
ING Group,78.92,107.756
UBS,75.482,103.061
Charles Schwab,74.255,101.386
PNC Financial Services,72.246,98.643
Lloyds Banking Group,71.253,97.287
Sumitomo Mitsui Financial Group,67.328,91.928
Bank of Communications,67.078,91.587
Australia and New Zealand Banking Group,66.448,90.727
Banco Bradesco,64.816,88.498
National Australia Bank,63.794,87.103
Intesa Sanpaolo,62.032,84.697
Banco Bilbao Vizcaya Argentaria,60.678,82.848
Japan Post Bank,60.525,82.639
The Bank of New York Mellon,59.823,81.681
Shanghai Pudong Development Bank,58.796,80.279
Industrial Bank (China),57.388,78.356
Bank of China (Hong Kong),55.449,75.709
Bank of Montreal,53.181,72.612
Crédit Agricole,52.141,71.192
DBS Bank,51.475,70.283
Nordea,51.185,69.887
Capital One,51.107,69.78
NatWest Group,50.49,68.938
Mizuho Financial Group,50.018,68.293
Credit Suisse,48.462,66.169
Postal Savings Bank of China,47.948,65.467
China Minsheng Bank,47.921,65.43
UniCredit,47.777,65.234
China CITIC Bank,47.451,64.789
Hang Seng Bank,46.171,63.041
Société Générale,46.051,62.877
Barclays,45.85,62.603
Canadian Imperial Bank of Commerce,43.544,59.454
Bank Central Asia,43.344,59.181
Truist Financial,41.923,57.241
Oversea-Chinese Banking Corp,41.362,56.475
State Bank of India,40.562,55.382
State Street,39.769,54.3
Deutsche Bank,38.649,52.77
KBC Bank,38.394,52.422
Danske Bank,38.223,52.189
Ping An Bank,37.993,51.875
Standard Chartered,37.319,50.955
United Overseas Bank,35.128,47.963
QNB Group,33.56,45.822
Bank Rakyat,33.081,45.168
